,Time,Image file,File path,Predicted label
457,2022-09-14 18:30:01,WSCT9132.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9132.JPG,0
323,2022-09-14 19:00:01,WSCT9133.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9133.JPG,0
146,2022-09-14 19:30:01,WSCT9134.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9134.JPG,0
912,2022-09-15 06:30:01,WSCT9140.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9140.JPG,0
791,2022-09-15 07:00:01,WSCT9141.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9141.JPG,0
643,2022-09-15 07:30:01,WSCT9142.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9142.JPG,0
757,2022-09-15 08:00:01,WSCT9143.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9143.JPG,0
941,2022-09-15 08:30:01,WSCT9144.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9144.JPG,0
1079,2022-09-15 09:00:01,WSCT9145.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9145.JPG,0
1234,2022-09-15 09:30:01,WSCT9146.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9146.JPG,0
1099,2022-09-15 10:00:01,WSCT9147.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9147.JPG,0
1410,2022-09-15 10:30:01,WSCT9148.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9148.JPG,0
1536,2022-09-15 11:00:01,WSCT9149.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9149.JPG,0
942,2022-09-15 11:30:01,WSCT9150.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9150.JPG,0
1075,2022-09-15 12:00:01,WSCT9151.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9151.JPG,0
1238,2022-09-15 12:30:01,WSCT9152.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT9152.JPG,0
