,Time,Predicted label
796,2022-08-16 18:00:01,0
797,2022-08-16 18:30:01,0
798,2022-08-16 19:00:01,0
799,2022-08-16 19:30:01,0
800,2022-08-17 06:00:01,0
801,2022-08-17 06:30:01,0
802,2022-08-17 07:00:01,0
803,2022-08-17 07:30:01,0
804,2022-08-17 08:00:01,0
805,2022-08-17 08:30:01,0
806,2022-08-17 09:00:01,0
807,2022-08-17 09:30:01,0
808,2022-08-17 10:00:01,0
809,2022-08-17 10:30:01,0
810,2022-08-17 11:00:01,0
811,2022-08-17 11:30:01,0
812,2022-08-17 12:00:01,0
813,2022-08-17 12:30:01,0
814,2022-08-17 13:00:01,0
815,2022-08-17 13:30:01,0
816,2022-08-17 14:00:01,0
817,2022-08-17 14:30:01,0
818,2022-08-17 15:00:01,0
819,2022-08-17 15:30:01,0
820,2022-08-17 16:00:01,0
821,2022-08-17 16:30:01,0
822,2022-08-17 17:00:01,0
823,2022-08-17 17:30:01,0
824,2022-08-17 18:00:01,0
825,2022-08-17 18:30:01,0
826,2022-08-17 19:00:01,0
827,2022-08-17 19:30:01,0
828,2022-08-18 06:00:01,0
829,2022-08-18 06:30:01,0
830,2022-08-18 07:00:01,0
831,2022-08-18 07:30:01,0
832,2022-08-18 08:00:01,0
833,2022-08-18 08:30:01,0
834,2022-08-18 09:00:01,0
835,2022-08-18 09:30:01,0
836,2022-08-18 10:00:01,0
837,2022-08-18 10:30:01,0
838,2022-08-18 11:00:01,0
839,2022-08-18 11:30:01,0
840,2022-08-18 12:00:01,0
841,2022-08-18 12:30:01,0
842,2022-08-18 13:00:01,0
843,2022-08-18 13:30:01,0
844,2022-08-18 14:00:01,0
845,2022-08-18 14:30:01,0
846,2022-08-18 15:00:01,0
847,2022-08-18 15:30:01,0
848,2022-08-18 16:00:01,0
849,2022-08-18 16:30:01,0
850,2022-08-18 17:00:01,0
851,2022-08-18 17:30:01,0
852,2022-08-18 18:00:01,1
853,2022-08-18 18:30:01,0
854,2022-08-18 19:00:01,1
855,2022-08-18 19:30:01,1
856,2022-08-19 06:00:01,0
857,2022-08-19 06:30:01,0
858,2022-08-19 07:00:01,0
859,2022-08-19 07:30:01,0
860,2022-08-19 08:00:01,0
861,2022-08-19 08:30:01,0
862,2022-08-19 09:00:01,1
863,2022-08-19 09:30:01,1
864,2022-08-19 10:00:01,0
865,2022-08-19 10:30:01,1
866,2022-08-19 11:00:01,1
867,2022-08-19 11:30:01,0
868,2022-08-19 12:00:01,0
869,2022-08-19 12:30:01,0
870,2022-08-19 13:00:01,0
871,2022-08-19 13:30:01,0
872,2022-08-19 14:00:01,0
873,2022-08-19 14:30:01,0
874,2022-08-19 15:00:01,0
875,2022-08-19 15:30:01,0
876,2022-08-19 16:00:01,0
877,2022-08-19 16:30:01,0
878,2022-08-19 17:00:01,0
879,2022-08-19 17:30:01,0
880,2022-08-19 18:00:01,0
881,2022-08-19 18:30:01,0
882,2022-08-19 19:00:01,0
883,2022-08-19 19:30:01,0
884,2022-08-20 06:00:01,1
885,2022-08-20 06:30:01,1
886,2022-08-20 07:00:01,1
887,2022-08-20 07:30:01,1
888,2022-08-20 08:00:01,1
889,2022-08-20 08:30:01,0
890,2022-08-20 09:00:01,0
891,2022-08-20 09:30:01,1
892,2022-08-20 10:00:01,0
893,2022-08-20 10:30:01,0
894,2022-08-20 11:00:01,0
895,2022-08-20 11:30:01,0
896,2022-08-20 12:00:01,0
897,2022-08-20 12:30:01,0
898,2022-08-20 13:00:01,0
899,2022-08-20 13:30:01,0
900,2022-08-20 14:00:01,0
901,2022-08-20 14:30:01,0
902,2022-08-20 15:00:01,0
903,2022-08-20 15:30:01,0
904,2022-08-20 16:00:01,0
905,2022-08-20 16:30:01,0
906,2022-08-20 17:00:01,0
907,2022-08-20 17:30:01,0
908,2022-08-20 18:00:01,0
909,2022-08-20 18:30:01,0
910,2022-08-20 19:00:01,0
911,2022-08-20 19:30:01,0
912,2022-08-21 06:00:01,0
913,2022-08-21 06:30:01,0
914,2022-08-21 07:00:01,0
915,2022-08-21 07:30:01,0
916,2022-08-21 08:00:01,0
917,2022-08-21 08:30:01,0
